図鑑番号,アイテム名,カテゴリ,調査状況,入手方法・補足,売値,出典URL,備考,取得状況,植付季節,収穫季節,使用材料,対応加工機,加工機候補,最終更新
340,,,未特定,,,,,未取得,,,,0649 | 醸造樽,,2026/8/23
341,,,未特定,,,,,未取得,,,,0649 | 醸造樽,,2026/8/23
342,,,未特定,,,,,未取得,,,,0649 | 醸造樽,,2026/8/23
343,ショウガの出汁,加工品,未特定,,,,,取得済,,,,0649 | 醸造樽,,2026/8/23
344,,,未特定,,,,,未取得,,,,0649 | 醸造樽,,2026/8/23
345,エダマメの出汁,加工品,未特定,,,,,取得済,,,,0649 | 醸造樽,,2026/8/23
346,,,未特定,,,,,未取得,,,,0649 | 醸造樽,,2026/8/23
347,,,未特定,,,,,未取得,,,,0649 | 醸造樽,,2026/8/23
348,,,未特定,,,,,未取得,,,,0649 | 醸造樽,,2026/8/23
349,,,未特定,,,,,未取得,,,,0649 | 醸造樽,,2026/8/23
350,,,未特定,,,,,未取得,,,,0649 | 醸造樽,,2026/8/23
351,,,未特定,,,,,未取得,,,,0649 | 醸造樽,,2026/8/23
352,ダイコンの出汁,加工品,未特定,,,,,取得済,,,,0649 | 醸造樽,,2026/8/23
353,,,未特定,,,,,未取得,,,,0649 | 醸造樽,,2026/8/23
354,ワサビの出汁,加工品,未特定,,,,,取得済,,,,0649 | 醸造樽,,2026/8/23
355,,,未特定,,,,,未取得,,,,0649 | 醸造樽,,2026/8/23
356,イチゴの蒸留酒,加工品,未特定,,,,,取得済,,,,0649 | 醸造樽,,2026/8/23
357,,,未特定,,,,,未取得,,,,0649 | 醸造樽,,2026/8/23
358,,,未特定,,,,,未取得,,,,0649 | 醸造樽,,2026/8/23
359,,,未特定,,,,,未取得,,,,0649 | 醸造樽,,2026/8/23
360,,,未特定,,,,,未取得,,,,0649 | 醸造樽,,2026/8/23
361,,,未特定,,,,,未取得,,,,0649 | 醸造樽,,2026/8/23
362,モモの蒸留酒,加工品,未特定,,,,,取得済,,,,0649 | 醸造樽,,2026/8/23
363,,,未特定,,,,,未取得,,,,0649 | 醸造樽,,2026/8/23
364,,,未特定,,,,,未取得,,,,0649 | 醸造樽,,2026/8/23
365,,,未特定,,,,,未取得,,,,0649 | 醸造樽,,2026/8/23
366,,,未特定,,,,,未取得,,,,0649 | 醸造樽,,2026/8/23
367,ナシの蒸留酒,加工品,未特定,,,,,取得済,,,,0649 | 醸造樽,,2026/8/23
368,リンゴの蒸留酒,加工品,未特定,,,,,取得済,,,,0649 | 醸造樽,,2026/8/23
369,ミカンの蒸留酒,加工品,未特定,,,,,取得済,,,,0649 | 醸造樽,,2026/8/23
370,,,未特定,,,,,未取得,,,,0649 | 醸造樽,,2026/8/23
371,,,未特定,,,,,未取得,,,,0649 | 醸造樽,,2026/8/23
372,,,未特定,,,,,未取得,,,,0649 | 醸造樽,,2026/8/23
373,,,未特定,,,,,未取得,,,,0649 | 醸造樽,,2026/8/23
374,梅酒,加工品,未特定,,,,,取得済,,,,0649 | 醸造樽,,2026/8/23
375,ビール,加工品,未特定,,,,,取得済,,,,0649 | 醸造樽,,2026/8/23
376,日本酒,加工品,未特定,,,,,取得済,,,,0649 | 醸造樽,,2026/8/23
377,,,未特定,,,,,未取得,,,,0649 | 醸造樽,,2026/8/23
378,芋焼酎,加工品,未特定,,,,,取得済,,,,0649 | 醸造樽,,2026/8/23
379,熟成肉,加工品,未特定,,,,,取得済,,,,0651 | 熟成樽,,2026/8/23
380,味噌,加工品,未特定,,,,,取得済,,,,0651 | 熟成樽,,2026/8/23
381,ドライイチゴ,加工品,未特定,,,,,取得済,,,,0653 | 乾燥機,,2026/8/23
382,ドライスイカ,加工品,未特定,,,,,取得済,,,,0653 | 乾燥機,,2026/8/23
383,ドライメロン,加工品,未特定,,,,,取得済,,,,0653 | 乾燥機,,2026/8/23
384,,,未特定,,,,,未取得,,,,0653 | 乾燥機,,2026/8/23
385,ドライブルーベリー,加工品,未特定,,,,,取得済,,,,0653 | 乾燥機,,2026/8/23
386,ドライサクランボ,加工品,未特定,,,,,取得済,,,,0653 | 乾燥機,,2026/8/23
387,ドライモモ,加工品,未特定,,,,,取得済,,,,0653 | 乾燥機,,2026/8/23
388,,,未特定,,,,,未取得,,,,0653 | 乾燥機,,2026/8/23
389,,,未特定,,,,,未取得,,,,0653 | 乾燥機,,2026/8/23
390,,,未特定,,,,,未取得,,,,0653 | 乾燥機,,2026/8/23
391,,,未特定,,,,,未取得,,,,0653 | 乾燥機,,2026/8/23
392,ドライナシ,加工品,未特定,,,,,取得済,,,,0653 | 乾燥機,,2026/8/23
393,ドライリンゴ,加工品,未特定,,,,,取得済,,,,0653 | 乾燥機,,2026/8/23
394,ドライミカン,加工品,未特定,,,,,取得済,,,,0653 | 乾燥機,,2026/8/23
395,,,未特定,,,,,未取得,,,,0653 | 乾燥機,,2026/8/23
396,,,未特定,,,,,未取得,,,,0653 | 乾燥機,,2026/8/23
397,,,未特定,,,,,未取得,,,,0653 | 乾燥機,,2026/8/23
398,干し肉,加工品,未特定,,,,,取得済,,,,0653 | 乾燥機,,2026/8/23
399,,,未特定,,,,,未取得,,,,,,2026/8/23
400,,,未特定,,,,,未取得,,,,,,2026/8/23
401,,,未特定,,,,,未取得,,,,,,2026/8/23
402,,,未特定,,,,,未取得,,,,,,2026/8/23
403,,,未特定,,,,,未取得,,,,,,2026/8/23
404,,,未特定,,,,,未取得,,,,,,2026/8/23
405,そば粉,加工品,未特定,,,,,取得済,,,,0655 |粉挽き,,2026/8/23
406,小麦粉,加工品,未特定,,,,,取得済,,,,0655 |粉挽き,,2026/8/23
407,抹茶,加工品,未特定,,,,,取得済,,,,0655 |粉挽き,,2026/8/23
408,塩,加工品,未特定,,,,,取得済,,,,0655 |粉挽き,,2026/8/23
409,砂糖,加工品,未特定,,,,,取得済,,,,0655 |粉挽き,,2026/8/23
410,,,未特定,,,,,未取得,,,,,,2026/8/23
411,ソーセージ,加工品,未特定,,,,,取得済,,,,0667 |燻製器,,2026/8/23
412,,,未特定,,,,,未取得,,,,,,2026/8/23
413,,,未特定,,,,,未取得,,,,0667 |燻製器,,2026/8/23
414,スモークチーズ,加工品,未特定,,,,,取得済,,,,0667 |燻製器,,2026/8/23
415,燻製卵,加工品,未特定,,,,,取得済,,,,,,2026/8/23
416,,,未特定,,,,,未取得,,,,,,2026/8/23
417,,,未特定,,,,,未取得,,,,,,2026/8/23
418,油,加工品,未特定,,,,,取得済,,,,0657｜搾油機,,2026/8/23
419,ゴマ油,加工品,未特定,,,,,取得済,,,,0657｜搾油機,,2026/8/23
420,,,未特定,,,,,未取得,,,,0657｜搾油機,,2026/8/23
421,,,未特定,,,,,未取得,,,,0657｜搾油機,,2026/8/23
422,醤油,加工品,未特定,,,,,取得済,,,,0657｜搾油機,,2026/8/23
423,,,未特定,,,,,未取得,,,,0657｜搾油機,,2026/8/23
424,,,未特定,,,,,未取得,,,,0657｜搾油機,,2026/8/23
425,黄色の染料,加工品,未特定,,,,,取得済,,,,0657｜搾油機,,2026/8/23
426,緑の染料,加工品,未特定,,,,,取得済,,,,0657｜搾油機,,2026/8/23
427,,,未特定,,,,,未取得,,,,0657｜搾油機,,2026/8/23
428,,,未特定,,,,,未取得,,,,0657｜搾油機,,2026/8/23
429,,,未特定,,,,,未取得,,,,0657｜搾油機,,2026/8/23
430,白の染料,加工品,未特定,,,,,取得済,,,,0657｜搾油機,,2026/8/23
431,桃色の染料,加工品,未特定,,,,,取得済,,,,0657｜搾油機,,2026/8/23
432,,,未特定,,,,,未取得,,,,0659｜溶鉱炉,,2026/8/23
433,ガラス棒,加工品,確定,,,,,取得済,,,,0659｜溶鉱炉,,2026/8/23
434,銅の延べ棒,加工品,確定,,,,,取得済,,,,0659｜溶鉱炉,,2026/8/23
435,鉄の延べ棒,加工品,確定,,,,,取得済,,,,0659｜溶鉱炉,,2026/8/23
436,金の延べ棒,加工品,確定,,,,,取得済,,,,0659｜溶鉱炉,,2026/8/23
437,隕鉄の延べ棒,加工品,確定,,,,,取得済,,,,0659｜溶鉱炉,,2026/8/23
438,レンガ,加工品,確定,,,,,取得済,,,,0659｜溶鉱炉,,2026/8/23
439,木炭,加工品,確定,,,,,取得済,,,,0661｜炭焼き窯,,2026/8/23
440,シルク,加工品,確定,,,,,取得済,,,,0663｜織り機,,2026/8/23
441,布,加工品,確定,,,,,取得済,,,,0663｜織り機,,2026/8/23
442,,加工品,確定,,,,,未取得,,,,,,2026/8/23
443,生糸,加工品,確定,,,,,取得済,,,,0670｜養蚕箱,,2026/8/23
444,ハチミツ,加工品,確定,,,,,取得済,,,,0669｜養蜂箱,,2026/8/23
445,ローヤルゼリー,加工品,確定,,,,,取得済,,,,0669｜養蜂箱,,2026/8/23
446,カレー粉,調味料,確定,,,,,取得済,,,,,,2026/8/23
447,コンソメ,調味料,推定,,,,,取得済,,,,,,2026/8/23
448,兵糧丸,料理,確定,,,,,取得済,,,,,,2026/8/23
449,素朴な朝食,料理,確定,,,,,取得済,,,,,,2026/8/23
450,だし巻き卵,料理,確定,,,,,未取得,,,,,,2026/8/23
451,ゆでたまご,料理,確定,,,,,取得済,,,,,,2026/8/23
452,スクランブルエッグ,料理,確定,,,,,未取得,,,,,,2026/8/23
453,ソーセージグリル,料理,確定,,,,,取得済,,,,,,2026/8/23
454,バタージャムトースト,料理,確定,,,,,未取得,,,,,,2026/8/23
455,クロワッサン,料理,確定,,,,,取得済,,,,,,2026/8/23
456,マルゲリータピザ,料理,確定,,,,,未取得,,,,,,2026/8/23
457,梅茶漬け,料理,確定,,,,,未取得,,,,,,2026/8/23
458,,料理,未特定,,,,,未取得,,,,,,2026/8/23
459,焼き魚,料理,確定,,,,,取得済,,,,,,2026/8/23
460,,料理,未特定,,,,,未取得,,,,,,2026/8/23
461,,料理,未特定,,,,,未取得,,,,,,2026/8/23
462,タマネギのポトフ,料理,確定,,,,,取得済,,,,,,2026/8/23
463,エンドウ豆のお浸し,料理,確定,,,,,取得済,,,,,,2026/8/23
464,,料理,未特定,,,,,未取得,,,,,,2026/8/23
465,,料理,未特定,,,,,未取得,,,,,,2026/8/23
466,,料理,未特定,,,,,未取得,,,,,,2026/8/23
467,,料理,未特定,,,,,未取得,,,,,,2026/8/23
468,,料理,未特定,,,,,未取得,,,,,,2026/8/23
469,,料理,未特定,,,,,未取得,,,,,,2026/8/23
470,,料理,未特定,,,,,未取得,,,,,,2026/8/23
471,,料理,未特定,,,,,未取得,,,,,,2026/8/23
472,,料理,未特定,,,,,未取得,,,,,,2026/8/23
473,,料理,未特定,,,,,未取得,,,,,,2026/8/23
474,,料理,未特定,,,,,未取得,,,,,,2026/8/23
475,,料理,未特定,,,,,未取得,,,,,,2026/8/23
476,,料理,未特定,,,,,未取得,,,,,,2026/8/23
477,山盛りトマト,料理,確定,,,,,取得済,,,,,,2026/8/23
478,,料理,未特定,,,,,未取得,,,,,,2026/8/23
479,,料理,未特定,,,,,未取得,,,,,,2026/8/23
480,カボチャのスープ,料理,確定,,,,,取得済,,,,,,2026/8/23
481,,料理,未特定,,,,,未取得,,,,,,2026/8/23
482,,料理,未特定,,,,,未取得,,,,,,2026/8/23
483,まるごとキュウリ,料理,確定,,,,,取得済,,,,,,2026/8/23
484,,料理,未特定,,,,,未取得,,,,,,2026/8/23
485,,料理,未特定,,,,,未取得,,,,,,2026/8/23
486,,料理,未特定,,,,,未取得,,,,,,2026/8/23
487,,料理,未特定,,,,,未取得,,,,,,2026/8/23
488,,料理,未特定,,,,,未取得,,,,,,2026/8/23
489,,料理,未特定,,,,,未取得,,,,,,2026/8/23
490,,料理,未特定,,,,,未取得,,,,,,2026/8/23
491,,料理,未特定,,,,,未取得,,,,,,2026/8/23
492,,料理,未特定,,,,,未取得,,,,,,2026/8/23
493,,料理,未特定,,,,,未取得,,,,,,2026/8/23
494,,料理,未特定,,,,,未取得,,,,,,2026/8/23
495,おつまみ枝豆,料理,確定,,,,,取得済,,,,,,2026/8/23
496,ざるそば,料理,確定,,,,,取得済,,,,,,2026/8/23
497,,料理,未特定,,,,,未取得,,,,,,2026/8/23
498,,料理,未特定,,,,,未取得,,,,,,2026/8/23
499,,料理,未特定,,,,,未取得,,,,,,2026/8/23
500,,料理,未特定,,,,,未取得,,,,,,2026/8/23
501,山の幸茶碗蒸し,料理,確定,,,,,取得済,,,,,,2026/8/23
502,焼き松茸,料理,確定,,,,,取得済,,,,,,2026/8/23
503,,料理,未特定,,,,,未取得,,,,,,2026/8/23
504,,料理,未特定,,,,,未取得,,,,,,2026/8/23
505,,料理,未特定,,,,,未取得,,,,,,2026/8/23
506,,料理,未特定,,,,,未取得,,,,,,2026/8/23
507,,料理,未特定,,,,,未取得,,,,,,2026/8/23
508,オムライス,料理,確定,,,,,取得済,,,,,,2026/8/23
509,,料理,未特定,,,,,未取得,,,,,,2026/8/23
510,ホワイトシチュー,料理,確定,,,,,取得済,,,,,,2026/8/23
511,,料理,未特定,,,,,未取得,,,,,,2026/8/23
512,,料理,未特定,,,,,未取得,,,,,,2026/8/23
513,,料理,未特定,,,,,未取得,,,,,,2026/8/23
514,,料理,未特定,,,,,未取得,,,,,,2026/8/23
515,ミートパイ,料理,確定,,,,,取得済,,,,,,2026/8/23
516,スパゲッティ,料理,確定,,,,,取得済,,,,,,2026/8/23
517,,料理,未特定,,,,,未取得,,,,,,2026/8/23
518,,料理,未特定,,,,,未取得,,,,,,2026/8/23
519,お雑煮,料理,確定,,,,,取得済,,,,,,2026/8/23
520,,料理,未特定,,,,,未取得,,,,,,2026/8/23
521,,料理,未特定,,,,,未取得,,,,,,2026/8/23
522,アスパラサラダ,料理,確定,,,,,取得済,,,,,,2026/8/23
523,,料理,未特定,,,,,未取得,,,,,,2026/8/23
524,,料理,未特定,,,,,未取得,,,,,,2026/8/23
525,,料理,未特定,,,,,未取得,,,,,,2026/8/23
526,,料理,未特定,,,,,未取得,,,,,,2026/8/23
527,,料理,未特定,,,,,未取得,,,,,,2026/8/23
528,,料理,未特定,,,,,未取得,,,,,,2026/8/23
529,焼きそば,料理,確定,,,,,取得済,,,,,,2026/8/23
530,塩むすび,料理,確定,,,,,取得済,,,,,,2026/8/23
531,焼き芋,料理,確定,,,,,取得済,,,,,,2026/8/23
532,柏餅,料理,確定,,,,,取得済,,,,,,2026/8/23
533,山果実盛り,料理,確定,,,,,取得済,,,,,,2026/8/23
534,プリン,料理,確定,,,,,取得済,,,,,,2026/8/23
535,夏のお供スイカ,料理,確定,,,,,取得済,,,,,,2026/8/23
536,,料理,未特定,,,,,未取得,,,,,,2026/8/23
537,,料理,未特定,,,,,未取得,,,,,,2026/8/23
538,,料理,未特定,,,,,未取得,,,,,,2026/8/23
539,ベリー・ベリーパフェ,料理,確定,,,,,取得済,,,,,,2026/8/23
540,,料理,未特定,,,,,未取得,,,,,,2026/8/23
541,,料理,未特定,,,,,未取得,,,,,,2026/8/23
542,,料理,未特定,,,,,未取得,,,,,,2026/8/23
543,モンブラン,料理,確定,,,,,取得済,,,,,,2026/8/23
544,,料理,未特定,,,,,未取得,,,,,,2026/8/23
545,,料理,未特定,,,,,未取得,,,,,,2026/8/23
546,,料理,未特定,,,,,未取得,,,,,,2026/8/23
547,杏仁豆腐,料理,確定,,,,,取得済,,,,,,2026/8/23
548,,料理,未特定,,,,,未取得,,,,,,2026/8/23
549,,料理,未特定,,,,,未取得,,,,,,2026/8/23
550,,料理,未特定,,,,,未取得,,,,,,2026/8/23
551,,料理,未特定,,,,,未取得,,,,,,2026/8/23
552,,料理,未特定,,,,,未取得,,,,,,2026/8/23
553,,料理,未特定,,,,,未取得,,,,,,2026/8/23
554,,料理,未特定,,,,,未取得,,,,,,2026/8/23
555,,料理,未特定,,,,,未取得,,,,,,2026/8/23
556,,料理,未特定,,,,,未取得,,,,,,2026/8/23
557,,料理,未特定,,,,,未取得,,,,,,2026/8/23
558,,料理,未特定,,,,,未取得,,,,,,2026/8/23
559,,料理,未特定,,,,,未取得,,,,,,2026/8/23
560,,料理,未特定,,,,,未取得,,,,,,2026/8/23
561,,料理,未特定,,,,,未取得,,,,,,2026/8/23
562,,料理,未特定,,,,,未取得,,,,,,2026/8/23
563,醤油プリン,料理,確定,,,,,取得済,,,,,,2026/8/23
564,,料理,未特定,,,,,未取得,,,,,,2026/8/23
565,,料理,未特定,,,,,未取得,,,,,,2026/8/23
566,リンゴ飴,料理,確定,,,,,取得済,,,,,,2026/8/23
567,ソーダフロート,料理,確定,,,,,取得済,,,,,,2026/8/23
568,三団子,料理,確定,,,,,取得済,,,,,,2026/8/23
569,アブラハヤ,魚,確定,,,,,取得済,,,,,,2026/8/23
570,タナゴ,魚,確定,,,,,取得済,,,,,,2026/8/23
571,カワムツ,魚,確定,,,,,取得済,,,,,,2026/8/23
572,ヤマメ,魚,確定,,,,,取得済,,,,,,2026/8/23
573,ヤマトイワナ,魚,確定,,,,,取得済,,,,,,2026/8/23
574,ニジマス,魚,確定,,,,,未取得,,,,,,2026/8/23
575,アマゴ,魚,確定,,,,,取得済,,,,,,2026/8/23
576,アユ,魚,確定,,,,,未取得,,,,,,2026/8/23
577,サツキマス,魚,確定,,,,,取得済,,,,,,2026/8/23
578,オイカワ,魚,確定,,,,,取得済,,,,,,2026/8/23
579,ウグイ,魚,確定,,,,,取得済,,,,,,2026/8/23
580,ウナギ,魚,確定,,,,,取得済,,,,,,2026/8/23
581,ハリヨ,魚,確定,,,,,取得済,,,,,,2026/8/23
582,ヨシノボリ,魚,確定,,,,,取得済,,,,,,2026/8/23
583,カジカ,魚,確定,,,,,取得済,,,,,,2026/8/23
584,フナ,魚,確定,,,,,取得済,,,,,,2026/8/23
585,コイ,魚,確定,,,,,取得済,,,,,,2026/8/23
586,ナマズ,魚,確定,,,,,取得済,,,,,,2026/8/23
587,サワガニ,魚,確定,,,,,取得済,,,,,,2026/8/23
588,モクズガニ,魚,確定,,,,,取得済,,,,,,2026/8/23
589,ドンコ,魚,確定,,,,,取得済,,,,,,2026/8/23
590,ホトケドジョウ,魚,確定,,,,,取得済,,,,,,2026/8/23
591,ニホンザリガニ,魚,確定,,,,,未取得,,,,,,2026/8/23
592,テナガエビ,魚,確定,,,,,取得済,,,,,,2026/8/23
593,スッポン,魚,確定,,,,,取得済,,,,,,2026/8/23
594,イシガメ,魚,確定,,,,,取得済,,,,,,2026/8/23
595,トノサマガエル,魚,確定,,,,,取得済,,,,,,2026/8/23
596,サケ,魚,確定,,,,,取得済,,,,,,2026/8/23
597,イトウ,魚,確定,,,,,取得済,,,,,,2026/8/23
598,白いウナギ,魚,確定,,,,,未取得,,,,,,2026/8/23
599,白いコイ,魚,確定,,,,,取得済,,,,,,2026/8/23
600,白いナマズ,魚,確定,,,,,未取得,,,,,,2026/8/23
601,白いニホンザリガニ,魚,確定,,,,,取得済,,,,,,2026/8/23
602,白いスッポン,魚,確定,,,,,未取得,,,,,,2026/8/23
603,白いイトウ,魚,確定,,,,,取得済,,,,,,2026/8/23
604,祟られオイカワ,祟られ魚,確定,,,,,未取得,,,,,,2026/8/23
605,祟られフナ,祟られ魚,確定,,,,,未取得,,,,,,2026/8/23
606,祟られサワガニ,祟られ魚,確定,,,,,未取得,,,,,,2026/8/23
607,祟られアマゴ,祟られ魚,確定,,,,,取得済,,,,,,2026/8/23
608,祟られアユ,祟られ魚,確定,,,,,未取得,,,,,,2026/8/23
609,祟られカエル,祟られ魚,確定,,,,,未取得,,,,,,2026/8/23
610,小動物のジビエ肉,獲物,確定,,,,,取得済,,,,,,2026/8/23
611,大型動物のジビエ肉,獲物,確定,,,,,取得済,,,,,,2026/8/23
612,小動物の骨,獲物,確定,,,,,取得済,,,,,,2026/8/23
613,大型動物の骨,獲物,確定,,,,,取得済,,,,,,2026/8/23
614,キジの飾り羽,獲物,確定,,,,,取得済,,,,,,2026/8/23
615,キツネの毛皮,獲物,確定,,,,,取得済,,,,,,2026/8/23
616,タヌキの毛皮,獲物,確定,,,,,取得済,,,,,,2026/8/23
617,ウサギの毛皮,獲物,確定,,,,,取得済,,,,,,2026/8/23
618,イタチの毛皮,獲物,確定,,,,,取得済,,,,,,2026/8/23
619,イノシシの牙,獲物,確定,,,,,取得済,,,,,,2026/8/23
620,シカの角,獲物,確定,,,,,取得済,,,,,,2026/8/23
621,クマの毛皮,獲物,確定,,,,,取得済,,,,,,2026/8/23
622,熊胆,獲物,確定,,,,,取得済,,,,,,2026/8/23
623,トパーズ,鉱石,確定,,,,,取得済,,,,,,2026/8/23
624,瑠璃,鉱石,確定,,,,,取得済,,,,,,2026/8/23
625,翡翠,鉱石,確定,,,,,取得済,,,,,,2026/8/23
626,拓榴石,鉱石,確定,,,,,取得済,,,,,,2026/8/23
627,水晶,鉱石,確定,,,,,取得済,,,,,,2026/8/23
628,サファイア,鉱石,確定,,,,,取得済,,,,,,2026/8/23
629,琥珀,鉱石,確定,,,,,取得済,,,,,,2026/8/23
630,緑柱石,鉱石,確定,,,,,取得済,,,,,,2026/8/23
631,アメジスト,鉱石,確定,,,,,取得済,,,,,,2026/8/23
632,トルマリン,鉱石,確定,,,,,取得済,,,,,,2026/8/23
633,蛍石,鉱石,確定,,,,,取得済,,,,,,2026/8/23
634,紅水晶,鉱石,確定,,,,,取得済,,,,,,2026/8/23
635,魔除けナンテンの苗,購入品,確定,,,,,取得済,,,,,,2026/8/23
636,銅の金型,購入品,確定,,,,,取得済,,,,,,2026/8/23
637,鉄の金型,購入品,確定,,,,,取得済,,,,,,2026/8/23
638,金の金型,購入品,確定,,,,,取得済,,,,,,2026/8/23
639,隕鉄の金型,購入品,確定,,,,,取得済,,,,,,2026/8/23
640,作業台,機械,確定,,,,,取得済,,,,,,2026/8/23
641,樹液採取器,機械,確定,,,,,取得済,,,,,,2026/8/23
642,染色台,機械,確定,,,,,取得済,,,,,,2026/8/23
643,漬物樽,機械,確定,,,,,取得済,,,,,,2026/8/23
644,漬物樽／改,機械,確定,,,,,取得済,,,,,,2026/8/23
645,ミルク加工機,機械,確定,,,,,取得済,,,,,,2026/8/23
646,ミルク加工機／改,機械,確定,,,,,取得済,,,,,,2026/8/23
647,マヨネーズ加工機,機械,確定,,,,,取得済,,,,,,2026/8/23
648,マヨネーズ加工機,機械,確定,,,,,取得済,,,,,,2026/8/23
649,醸造樽,機械,確定,,,,,取得済,,,,,,2026/8/23
650,醸造樽／改,農具,確定,,,,,取得済,,,,,,2026/8/23
651,熟成樽,農具,確定,,,,,取得済,,,,,,2026/8/23
652,熟成樽／改,農具,確定,,,,,取得済,,,,,,2026/8/23
653,乾燥機,農具,確定,,,,,取得済,,,,,,2026/8/23
654,乾燥機／改,農具,確定,,,,,未取得,,,,,,2026/8/23
655,粉挽き,農具,確定,,,,,取得済,,,,,,2026/8/23
656,粉挽き／改,農具,確定,,,,,取得済,,,,,,2026/8/23
657,搾油機,農具,確定,,,,,取得済,,,,,,2026/8/23
658,搾油機／改,農具,確定,,,,,未取得,,,,,,2026/8/23
659,溶鉱炉,農具,確定,,,,,取得済,,,,,,2026/8/23
660,溶鉱炉／改,農具,確定,,,,,取得済,,,,,,2026/8/23
661,炭焼き窯,農具,確定,,,,,取得済,,,,,,2026/8/23
662,炭焼き窯／改,農具,確定,,,,,取得済,,,,,,2026/8/23
663,織り機,農具,確定,,,,,取得済,,,,,,2026/8/23
664,織り機／改,農具,確定,,,,,未取得,,,,,,2026/8/23
665,コンポスター,農具,確定,,,,,取得済,,,,,,2026/8/23
666,コンポスター／改,農具,確定,,,,,未取得,,,,,,2026/8/23
667,燻製器,農具,確定,,,,,取得済,,,,,,2026/8/23
668,燻製器／改,農具,確定,,,,,取得済,,,,,,2026/8/23
669,養蜂箱,農具,確定,,,,,取得済,,,,,,2026/8/23
670,養蚕箱,農具,確定,,,,,取得済,,,,,,2026/8/23
671,小さいスプリンクラー,農具,確定,,,,,取得済,,,,,,2026/8/23
672,普通のスプリンクラー,農具,確定,,,,,取得済,,,,,,2026/8/23
673,強化スプリンクラー,農具,確定,,,,,取得済,,,,,,2026/8/23
674,はんごう,農具,確定,,,,,取得済,,,,,,2026/8/23
675,かまど,農具,確定,,,,,取得済,,,,,,2026/8/23
676,七輪,農具,確定,,,,,取得済,,,,,,2026/8/23
677,ジョウロ,農具,確定,,,,,取得済,,,,,,2026/8/23
678,鋼のジョウロ,農具,推定,,,,,取得済,,,,,,2026/8/23
679,銅のジョウロ,農具,確定,,,,,取得済,,,,,,2026/8/23
680,金のジョウロ,農具,確定,,,,,取得済,,,,,,2026/8/23
681,隕鉄のジョウロ,農具,確定,,,,,取得済,,,,,,2026/8/23
682,クワ,農具,確定,,,,,取得済,,,,,,2026/8/23
683,銅のクワ,農具,確定,,,,,取得済,,,,,,2026/8/23
684,鋼のクワ,農具,確定,,,,,取得済,,,,,,2026/8/23
685,金のクワ,農具,確定,,,,,取得済,,,,,,2026/8/23
686,隕鉄のクワ,農具,確定,,,,,取得済,,,,,,2026/8/23
687,オノ,農具,確定,,,,,取得済,,,,,,2026/8/23
688,銅のオノ,農具,確定,,,,,取得済,,,,,,2026/8/23
689,鋼のオノ,農具,確定,,,,,取得済,,,,,,2026/8/23
690,金のオノ,農具,確定,,,,,取得済,,,,,,2026/8/23
691,隠鉄のオノ,農具,確定,,,,,取得済,,,,,,2026/8/23
692,ツルハシ,農具,確定,,,,,取得済,,,,,,2026/8/23
693,銅のツルハシ,農具,確定,,,,,取得済,,,,,,2026/8/23
694,鋼のツルハシ,農具,確定,,,,,取得済,,,,,,2026/8/23
695,金のツルハシ,農具,確定,,,,,取得済,,,,,,2026/8/23
696,隕鉄のツルハシ,農具,確定,,,,,取得済,,,,,,2026/8/23
697,スキ,農具,確定,,,,,取得済,,,,,,2026/8/23
698,銅のスキ,農具,確定,,,,,取得済,,,,,,2026/8/23
699,鋼のスキ,農具,確定,,,,,取得済,,,,,,2026/8/23
700,金のスキ,農具,確定,,,,,取得済,,,,,,2026/8/23
701,隕鉄のスキ,農具,確定,,,,,取得済,,,,,,2026/8/23
702,カマ,農具,確定,,,,,取得済,,,,,,2026/8/23
703,弓,農具,確定,,,,,取得済,,,,,,2026/8/23
704,懐中電灯,農具,農具,,,,,取得済,,,,,,2026/8/23
705,タニシ,農具,農具,,,,,取得済,,,,,,2026/8/23
706,肥料,農具,農具,,,,,取得済,,,,0665｜コンポスター,,2026/8/23
707,良い肥料,農具,農具,,,,,取得済,,,,0665｜コンポスター,,2026/8/23
708,高級肥料,農具,農具,,,,,取得済,,,,0665｜コンポスター,,2026/8/23
709,,,未特定,,,,,未取得,,,,,,2026/8/23
710,,,未特定,,,,,未取得,,,,,,2026/8/23
711,,,未特定,,,,,未取得,,,,,,2026/8/23
712,,,未特定,,,,,未取得,,,,,,2026/8/23
713,,,未特定,,,,,未取得,,,,,,2026/8/23
714,白い板材の柵,農具,確定,,1,,,取得済,,,0083 | 堅い木材 ×2,0640 | 作業台,,2026/8/23
715,,,未特定,,,,,未取得,,,,,,2026/8/23
716,,,未特定,,,,,未取得,,,,,,2026/8/23
717,,,未特定,,,,,未取得,,,,,,2026/8/23
718,,,未特定,,,,,未取得,,,,,,2026/8/23
719,,,未特定,,,,,未取得,,,,,,2026/8/23
720,,,未特定,,,,,未取得,,,,,,2026/8/23
721,,,未特定,,,,,未取得,,,,,,2026/8/23
722,,,未特定,,,,,未取得,,,,,,2026/8/23
723,,,未特定,,,,,未取得,,,,,,2026/8/23
724,,,未特定,,,,,未取得,,,,,,2026/8/23
725,,,未特定,,,,,未取得,,,,,,2026/8/23
726,,,未特定,,,,,未取得,,,,,,2026/8/23
727,,,未特定,,,,,未取得,,,,,,2026/8/23
728,,,未特定,,,,,未取得,,,,,,2026/8/23
729,,,未特定,,,,,未取得,,,,,,2026/8/23
